Address,First_Activity,Last_Activity,All_Addresses,Ward,Description,Proposed_Use,Storeys,Units,Planner,Num_apps,Apps,Supporting_Docs,Link
2336 ST CLAIR AVE W,"Nov 07, 2014","Dec 16, 2015",['2336 ST CLAIR AVE W'],11,Proposed expansion and alterations to existing car dealership (Ken Shaw Motors Limited).,Non-Residential,2,0,"Gregory Byrne, Senior Planner, (416) 394-8238, Greg.Byrne@toronto.ca ",1.0,"[['Site Plan Approval', '14 249552 WET 11 SA', 'Nov 7, 2014', 'NOAC Issued\xa0\xa0 Dec 16, 2015']]",[],http://app.toronto.ca/DevelopmentApplications/associatedApplicationsList.do?action=init&folderRsn=3656144&isCofASearch=false&isTlabSearch=false
2575 ST CLAIR AVE W,"Apr 12, 2016","Feb 01, 2018",['2575 ST CLAIR AVE W'],11,"Proposed development of two, 1-storey commercial buildings (Buildings A & B) and a 2-storey commercial/office building (Building C)",---,2,0,"Gregory Byrne, Senior Planner, (416) 394-8238, Greg.Byrne@toronto.ca ",1.0,"[['Site Plan Approval', '16 139345 WET 11 SA', 'Apr 12, 2016', 'NOAC Issued\xa0\xa0 May 2, 2017']]","['Toronto Green Standards Checklist: Feb 1, 2018: Download : : Toronto Green Standards Checklist: Feb 1, 2018: Download : : Loading Study: Apr 13, 2016: Download : : Stormwater Management Report: Nov 30, 2017: Download : : Servicing Report: Aug 5, 2016: Download : : Geotechnical Study: Aug 5, 2016: Download : : Arborist/Tree Preservation Report and/or Declaration: Apr 13, 2016: Download : : Arborist/Tree Preservation Report and/or Declaration: Apr 13, 2016: Download : : Application Form: Apr 13, 2016: Download : : Application Form: Apr 13, 2016: Download : : Resubmission Form: Feb 1, 2018: Download : : Screening tool for new building design: Feb 1, 2018: Download : : Detailed Revision List: Feb 1, 2018: Download : : Survey Plans: Apr 13, 2016: Download : : Architectural Plans: Feb 1, 2018: Download : : Civil and Utilities Plans: Feb 1, 2018: Download : : Civil and Utilities Plans: Feb 1, 2018: Download : : Civil and Utilities Plans: Feb 1, 2018: Download : : Landscape and Lighting Plans: Feb 1, 2018: Download : : Correspondence: Feb 23, 2017: Download : : Project Data Sheet: Feb 1, 2018: Download : : Cover Letter: Feb 1, 2018: Download : : Disclaimer']",http://app.toronto.ca/DevelopmentApplications/associatedApplicationsList.do?action=init&folderRsn=3930855&isCofASearch=false&isTlabSearch=false
150 SYMES RD,"Jul 10, 2013","Jan 17, 2018","['150 SYMES RD ,150 SYMES RD']",11,"Application submitted to lift the Holding Symbol ""H"" as to permit an outdoor rooftop patio of 250 square metres on the site.",---,,,"Gregory Byrne, Senior Planner, (416) 394-8238, Greg.Byrne@toronto.ca ",3.0,"[['Rezoning', '18 105853 WET 11 OZ', 'Jan 16, 2018', 'Under Review'], ['OPA & Rezoning', '13 201931 WET 11 OZ', 'Jul 10, 2013', 'Closed'], ['Site Plan Approval', '13 201956 WET 11 SA', 'Jul 10, 2013', 'Final Approval Completed\xa0\xa0 Mar 3, 2017']]","['Noise Impact Study : Jan 17, 2018: Download : : Application Form: Jan 17, 2018: Download : : Schedule A: Jan 17, 2018: Download : : Schedule B: Jan 17, 2018: Download : : R Plan: Jan 17, 2018: Download : : Odour Mitigation: Jan 17, 2018: Download : : Letters to neighbouring industrial properties: Jan 17, 2018: Download : : Survey Plans: Jan 17, 2018: Download : : Architectural Plans: Jan 17, 2018: Download : : Project Data Sheet: Jan 17, 2018: Download : : Cover Letter: Jan 17, 2018: Download : : Draft Zoning Bylaw Amendment 569-2013: Jan 17, 2018: Download : : Draft Zoning Bylaw Amendment FGZBL: Jan 17, 2018: Download : : Application Checklist: Jan 17, 2018: Download : : Disclaimer', 'Planning Rationale: Jul 8, 2014: Download : : Natural Heritage Impact Study: Mar 26, 2014: Download : : Toronto Green Standards Checklist: Jul 8, 2014: Download : : Noise Impact Study : Mar 26, 2014: Download : : Stormwater Management Report: Jul 2, 2015: Download : : Servicing Report: Dec 15, 2015: Download : : Geotechnical Study: Mar 10, 2015: Download : : Arborist/Tree Preservation Report and/or Declaration: Sep 9, 2016: Download : : Application Form: Nov 3, 2016: Download : : Resubmission Form: Sep 9, 2016: Download : : Linked Document: Sep 9, 2016: Download : : Linked Document: Sep 9, 2016: Download : : Survey Plans: Dec 15, 2015: Download : : Plans and Drawings: Dec 15, 2015: Download : : Architectural Plans: Sep 9, 2016: Download : : Civil and Utilities Plans: Nov 3, 2016: Download : : Landscape and Lighting Plans: Nov 3, 2016: Download : : Landscape and Lighting Plans: Nov 3, 2016: Download : : Correspondence: Nov 3, 2016: Download : : Project Data Sheet: Nov 3, 2016: Download : : Cover Letter: Nov 3, 2016: Download : : Disclaimer']",http://app.toronto.ca/DevelopmentApplications/associatedApplicationsList.do?action=init&folderRsn=3391839&isCofASearch=false&isTlabSearch=false
955 WESTON RD,"May 26, 2005","Apr 17, 2018","['955 WESTON RD ,965-969 WESTON RD']",11,Proposed residential development consisting of 71 stacked townhouse units on a new public road.,---,,,"Gregory Byrne, Senior Planner, (416) 394-8238, Greg.Byrne@toronto.ca ",4.0,"[['Subdivision Approval', '18 142980 WET 11 SB', 'Apr 12, 2018', 'Under Review'], ['Rezoning', '18 142988 WET 11 OZ', 'Apr 12, 2018', 'Under Review'], ['Site Plan Approval', '05 136530 WET 11 SA', 'May 27, 2005', 'Under Review'], ['OPA & Rezoning', '05 136264 WET 11 OZ', 'May 26, 2005', 'Notification Completed']]","['Planning Rationale: Apr 13, 2018: Download : : Toronto Green Standards Checklist: Apr 13, 2018: Download : : Noise Impact Study : Apr 13, 2018: Download : : Stormwater Management Report: Apr 13, 2018: Download : : Servicing Report: Apr 13, 2018: Download : : Geotechnical Study: Apr 16, 2018: Download : : Arborist/Tree Preservation Report and/or Declaration: Apr 13, 2018: Download : : Application Form: Apr 13, 2018: Download : : Civil Response Letter : Apr 13, 2018: Download : : Construction Management Plan: Apr 13, 2018: Download : : ESA_Geotech_Hydrogeo_Letter: Apr 13, 2018: Download : : DerailmentProtectionReport: Apr 13, 2018: Download : : Landscape Response: Apr 13, 2018: Download : : Pavement Marking: Apr 13, 2018: Download : : Photometric: Apr 13, 2018: Download : : Rail Protection Design Brief: Apr 13, 2018: Download : : SubdivisionConceptPlan: Apr 13, 2018: Download : : SurveyTopo: Apr 13, 2018: Download : : Tree Protection Plan: Apr 13, 2018: Download : : Preliminary Geotechnical Investigation: Apr 17, 2018: Download : : Hydrogeology Investigation: Apr 17, 2018: Download : : Survey Plans: Apr 13, 2018: Download : : Architectural Plans: Apr 13, 2018: Download : : Civil and Utilities Plans: Apr 13, 2018: Download : : Landscape and Lighting Plans: Apr 13, 2018: Download : : Landscape and Lighting Plans: Apr 13, 2018: Download : : Project Data Sheet: Apr 13, 2018: Download : : Cover Letter: Apr 13, 2018: Download : : Cost Estimate: Apr 13, 2018: Download : : Fee Schedules: Apr 13, 2018: Download : : Disclaimer', 'Planning Rationale: Apr 13, 2018: Download : : Toronto Green Standards Checklist: Apr 13, 2018: Download : : Noise Impact Study : Apr 13, 2018: Download : : Stormwater Management Report: Apr 13, 2018: Download : : Servicing Report: Apr 13, 2018: Download : : Arborist/Tree Preservation Report and/or Declaration: Apr 13, 2018: Download : : Application Form: Apr 13, 2018: Download : : CivilResponseLetter: Apr 13, 2018: Download : : DerailmentProtectionPlan: Apr 13, 2018: Download : : DerailmentProtectionReport: Apr 13, 2018: Download : : ESA_Geotech_Hydrogeo_Letter: Apr 13, 2018: Download : : LandscapeResponse: Apr 13, 2018: Download : : Pavement Marking: Apr 13, 2018: Download : : Photometric: Apr 13, 2018: Download : : RailProtectionDesignBrief: Apr 13, 2018: Download : : SubdivisionConceptPlan: Apr 13, 2018: Download : : SurveyTopo: Apr 13, 2018: Download : : Tree Protection Plan: Apr 13, 2018: Download : : Survey Plans: Apr 13, 2018: Download : : Architectural Plans: Apr 13, 2018: Download : : Civil and Utilities Plans: Apr 13, 2018: Download : : Landscape and Lighting Plans: Apr 13, 2018: Download : : Landscape and Lighting Plans: Apr 13, 2018: Download : : Project Data Sheet: Apr 13, 2018: Download : : Cover Letter: Apr 13, 2018: Download : : Draft Zoning Bylaw Amendment FGZBL: Apr 16, 2018: Download : : Fee Schedules: Apr 13, 2018: Download : : Disclaimer', 'Plans and Drawings: Mar 13, 2014: Download : : Plans and Drawings: Mar 13, 2014: Download : : Plans and Drawings: Mar 13, 2014: Download : : Plans and Drawings: Mar 13, 2014: Download : : Plans and Drawings: Mar 13, 2014: Download : : Planning Rationale: Mar 13, 2014: Download : : Disclaimer']",http://app.toronto.ca/DevelopmentApplications/associatedApplicationsList.do?action=init&folderRsn=1582246&isCofASearch=false&isTlabSearch=false
1234 WESTON RD,"Apr 19, 2018","Apr 27, 2018",['1234 WESTON RD'],11,Construction of a new childcare facility.,---,2,,"Elisabeth Silva Stewart, Planner, (416) 394-6006, Elisabeth.SilvaStewart@toronto.ca ",1.0,"[['Site Plan Approval', '18 146118 WET 11 SA', 'Apr 19, 2018', 'Under Review']]","['Toronto Green Standards Checklist: Apr 25, 2018: Download : : Stormwater Management Report: Apr 25, 2018: Download : : Traffic Operations Assessment: Apr 25, 2018: Download : : Servicing Report: Apr 25, 2018: Download : : Geotechnical Study: Apr 25, 2018: Download : : Arborist/Tree Preservation Report and/or Declaration: Apr 25, 2018: Download : : Application Form: Apr 25, 2018: Download : : TRANSMITTAL: Apr 25, 2018: Download : : Survey Plans: Apr 25, 2018: Download : : Architectural Plans: Apr 27, 2018: Download : : Civil and Utilities Plans: Apr 25, 2018: Download : : Landscape and Lighting Plans: Apr 25, 2018: Download : : (Interdepartmental Charge Form) : Apr 25, 2018: Download : : Project Data Sheet: Apr 25, 2018: Download : : Cover Letter: Apr 25, 2018: Download : : Application Checklist: Apr 25, 2018: Download : : Disclaimer']",http://app.toronto.ca/DevelopmentApplications/associatedApplicationsList.do?action=init&folderRsn=4356910&isCofASearch=false&isTlabSearch=false
1391 WESTON RD,"Apr 13, 2018","May 08, 2018",['1391 WESTON RD'],11,To construct a one storey commercial building in conjunction with the existing gas station use on the subject site.,---,,,"Sean Rooney, Planner, (416) 394-8245, Sean.Rooney@toronto.ca ",2.0,"[['Site Plan Approval', '18 143854 WET 11 SA', 'Apr 13, 2018', 'Under Review'], ['Rezoning', '18 143862 WET 11 OZ', 'Apr 13, 2018', 'Under Review']]","['Planning Rationale: Apr 16, 2018: Download : : Toronto Green Standards Checklist: May 8, 2018: Download : : Stormwater Management Report: Apr 16, 2018: Download : : Transportation Impact Study: Apr 16, 2018: Download : : Servicing Report: Apr 16, 2018: Download : : Application Form: Apr 16, 2018: Download : : Schedule B: Apr 16, 2018: Download : : Schedule A: Apr 16, 2018: Download : : Reference Plan : Apr 16, 2018: Download : : Fuel Delivery Route: Apr 16, 2018: Download : : TT-2 Fuel Delivery Route: Apr 16, 2018: Download : : TT-3 Internal Circulation Plan: Apr 16, 2018: Download : : Topographic Plan: Apr 16, 2018: Download : : Architectural Plans: Apr 16, 2018: Download : : Architectural Plans: Apr 16, 2018: Download : : Architectural Plans: Apr 16, 2018: Download : : Architectural Plans: Apr 16, 2018: Download : : Civil and Utilities Plans: Apr 16, 2018: Download : : Civil and Utilities Plans: Apr 16, 2018: Download : : Civil and Utilities Plans: Apr 16, 2018: Download : : Civil and Utilities Plans: Apr 16, 2018: Download : : Civil and Utilities Plans: Apr 16, 2018: Download : : Civil and Utilities Plans: Apr 16, 2018: Download : : Landscape and Lighting Plans: Apr 16, 2018: Download : : Landscape and Lighting Plans: Apr 16, 2018: Download : : Project Data Sheet: Apr 16, 2018: Download : : Cover Letter: Apr 16, 2018: Download : : Energy Efficiency Report: Apr 16, 2018: Download : : PLN - Draft Zoning By-Law Amendment FGZBL (Word Copy): Apr 16, 2018: Download : : Fee Schedules: Apr 16, 2018: Download : : Fee Schedules: Apr 16, 2018: Download : : Disclaimer', 'Planning Rationale: Apr 16, 2018: Download : : Toronto Green Standards Checklist: May 8, 2018: Download : : Stormwater Management Report: Apr 16, 2018: Download : : Transportation Impact Study: Apr 16, 2018: Download : : Servicing Report: Apr 16, 2018: Download : : Application Form: Apr 16, 2018: Download : : Reference Plan: Apr 16, 2018: Download : : TT-1 Fuel Delivery Route: Apr 16, 2018: Download : : TT-2 Fuel Delivery Route: Apr 16, 2018: Download : : TT-3 Internal Circulation Plan: Apr 16, 2018: Download : : TP-1 Topographic Plan: Apr 16, 2018: Download : : Public Utility Coordination Plan: Apr 16, 2018: Download : : Schedule B: Apr 16, 2018: Download : : Schedule A: Apr 16, 2018: Download : : Architectural Plans: Apr 16, 2018: Download : : Architectural Plans: Apr 16, 2018: Download : : Architectural Plans: Apr 16, 2018: Download : : Architectural Plans: Apr 16, 2018: Download : : Civil and Utilities Plans: Apr 16, 2018: Download : : Civil and Utilities Plans: Apr 16, 2018: Download : : Civil and Utilities Plans: Apr 16, 2018: Download : : Civil and Utilities Plans: Apr 16, 2018: Download : : Civil and Utilities Plans: Apr 16, 2018: Download : : Landscape and Lighting Plans: Apr 16, 2018: Download : : Landscape and Lighting Plans: Apr 16, 2018: Download : : Project Data Sheet: Apr 16, 2018: Download : : Cover Letter: Apr 16, 2018: Download : : Energy Efficiency Report: Apr 16, 2018: Download : : PLN - Draft Zoning By-Law Amendment FGZBL (Word Copy): Apr 16, 2018: Download : : Fee Schedules: Apr 16, 2018: Download : : Fee Schedules: Apr 16, 2018: Download : : Disclaimer']",http://app.toronto.ca/DevelopmentApplications/associatedApplicationsList.do?action=init&folderRsn=4354262&isCofASearch=false&isTlabSearch=false
1677 WESTON RD,"Feb 24, 2012","Apr 24, 2017",['1677 WESTON RD'],11,Proposal for 10 3-storey townhouses.,---,3,10,"Sean Rooney, Planner, (416) 394-8245, Sean.Rooney@toronto.ca ",1.0,"[['Site Plan Approval', '12 127228 WET 11 SA', 'Feb 24, 2012', 'Under Review']]","['Stormwater Management Report: Apr 24, 2017: Download : : Servicing Report: Apr 24, 2017: Download : : Arborist/Tree Preservation Report and/or Declaration: Apr 24, 2017: Download : : Resubmission Form: Apr 24, 2017: Download : : Transfer Deed: Apr 24, 2017: Download : : Storm Drainage Plan: Apr 24, 2017: Download : : Tree Inventory and Removal Plan: Apr 24, 2017: Download : : Landscape Plan: Apr 24, 2017: Download : : Architectural Plans: Apr 24, 2017: Download : : Civil and Utilities Plans: Apr 24, 2017: Download : : Landscape and Lighting Plans: Apr 24, 2017: Download : : Cover Letter: Apr 24, 2017: Download : : Disclaimer']",http://app.toronto.ca/DevelopmentApplications/associatedApplicationsList.do?action=init&folderRsn=3081846&isCofASearch=false&isTlabSearch=false
1695 WESTON RD,"Dec 22, 2017","Dec 22, 2017","['10 VICTORIA AVE E ,1695 WESTON RD ,1705 WESTON RD ,1707 WESTON RD']",11,The redevelopment of the subject site with a 25-storey mixed-use building containing 240 apartment units and 147 m2 of retail space at grade. A total of 142 parking spaces would be provided.,---,25,240,"Sean Rooney, Planner, (416) 394-8245, Sean.Rooney@toronto.ca ",1.0,"[['Rezoning', '17 278899 WET 11 OZ', 'Dec 22, 2017', 'Under Review']]","['Planning Rationale: Dec 22, 2017: Download : : Sun/Shadow Study: Dec 22, 2017: Download : : Toronto Green Standards Checklist: Dec 22, 2017: Download : : Noise Impact Study : Dec 22, 2017: Download : : Stormwater Management Report: Dec 22, 2017: Download : : Transportation Impact Study: Dec 22, 2017: Download : : Servicing Report: Dec 22, 2017: Download : : Arborist Report: Dec 22, 2017: Download : : Tree Preservation Plan: Dec 22, 2017: Download : : Application Form: Dec 22, 2017: Download : : Public Consultation Strategy: Dec 22, 2017: Download : : Rental Screening Form: Dec 22, 2017: Download : : Wind Assessment: Dec 22, 2017: Download : : Survey Plans: Dec 22, 2017: Download : : Architectural Plans: Dec 22, 2017: Download : : Landscape and Lighting Plans: Dec 22, 2017: Download : : Project Data Sheet: Dec 22, 2017: Download : : Cover Letter: Dec 22, 2017: Download : : Draft Zoning Bylaw Amendment 569-2013: Dec 22, 2017: Download : : Fee Schedules: Dec 22, 2017: Download : : Application Checklist: Dec 22, 2017: Download : : Disclaimer']",http://app.toronto.ca/DevelopmentApplications/associatedApplicationsList.do?action=init&folderRsn=4300634&isCofASearch=false&isTlabSearch=false
1736 WESTON RD,"Dec 11, 2015","Sep 27, 2017",['1736 WESTON RD'],11,Proposed amendments to the York Zoning Bylaw to permit a place of worship,---,2,0,"Sean Rooney, Planner, (416) 394-8245, Sean.Rooney@toronto.ca ",1.0,"[['Rezoning', '15 264063 WET 11 OZ', 'Dec 11, 2015', 'Under Review']]","['Planning Rationale: Dec 17, 2015: Download : : Parking Study: Jun 13, 2017: Download : : Application Form: Dec 17, 2015: Download : : Resubmission Form: Sep 27, 2017: Download : : Original Building Elevations: Sep 27, 2017: Download : : Site Plan: Sep 27, 2017: Download : : Detailed Revision List: Sep 27, 2017: Download : : Survey Plans: Sep 27, 2017: Download : : Architectural Plans: Jun 13, 2017: Download : : Landscape and Lighting Plans: Sep 27, 2017: Download : : Comments: Jun 13, 2017: Download : : Correspondence: Jun 13, 2017: Download : : Cover Letter: Sep 27, 2017: Download : : Application Checklist: Dec 17, 2015: Download : : Disclaimer']",http://app.toronto.ca/DevelopmentApplications/associatedApplicationsList.do?action=init&folderRsn=3873180&isCofASearch=false&isTlabSearch=false
2059 WESTON RD,"Sep 04, 2012","Sep 21, 2017","['0 WESTON RD ,2059 WESTON RD']",11,Proposed standard condominium for the construction of 48 3-storey back-to-back stacked townhouse development in three building blocks with a one-level below grade garage.,---,,,"Anthony Hommik, Planner, 416-394-6006, Anthony.Hommik@toronto.ca ",2.0,"[['Condominium Approval', '17 139737 WET 11 CD', 'Apr 5, 2017', 'Draft Plan Approved\xa0\xa0 Sep 21, 2017'], ['Site Plan Approval', '12 240121 WET 11 SA', 'Sep 4, 2012', 'Closed']]","['Application Form: Apr 5, 2017: Download : : Resubmission Form: Jul 21, 2017: Download : : Topographical Survey: Jul 21, 2017: Download : : Survey Plans: Jul 21, 2017: Download : : Survey Plans: Jul 21, 2017: Download : : Survey Plans: Jul 21, 2017: Download : : Correspondence: Jul 21, 2017: Download : : Correspondence: Jul 21, 2017: Download : : Correspondence: Jul 21, 2017: Download : : Correspondence: Jul 21, 2017: Download : : Correspondence: Jul 21, 2017: Download : : Disclaimer']",http://app.toronto.ca/DevelopmentApplications/associatedApplicationsList.do?action=init&folderRsn=3206653&isCofASearch=false&isTlabSearch=false
2062 WESTON RD,"Oct 29, 2009","Feb 06, 2012",['2062 WESTON RD'],11,An application to amendment the former City of York Zoning By-law 1-83 to permit a 18-storey building comprised of a 5-storey podium with commercial uses at grade and a 13-storey tower element above the podium. The proposed developoment will contain 204 residential condominium units and a public park.,---,18,204,"Lorne Berg, Senior Planner, (416) 394-8230, Lorne.Berg@toronto.ca ",1.0,"[['Rezoning', '09 183714 WET 11 OZ', 'Oct 29, 2009', 'Council Approved\xa0\xa0 Feb 6, 2012']]",[],http://app.toronto.ca/DevelopmentApplications/associatedApplicationsList.do?action=init&folderRsn=2505622&isCofASearch=false&isTlabSearch=false
2179 WESTON RD,"Apr 28, 2015","Oct 20, 2015",['2179 WESTON RD'],11,"Draft Plan of Condominium (common elements) related to a residential development consisting of three (3) four-storey townhouses within a single block fronting Weston Road, and nine (9) three-storey detached dwellings.",---,4,12,"Olivia Antonel, Assistant Planner, (416) 394-6008, Olivia.Antonel@toronto.ca ",1.0,"[['Condominium Approval', '15 147821 WET 11 CD', 'Apr 28, 2015', 'Draft Plan Approved\xa0\xa0 Oct 20, 2015']]",[],http://app.toronto.ca/DevelopmentApplications/associatedApplicationsList.do?action=init&folderRsn=3736864&isCofASearch=false&isTlabSearch=false
2270 WESTON RD,"Sep 25, 2009","Feb 20, 2018","['2270 WESTON RD ,2270 WESTON RD ,2274 WESTON RD']",11,To demolish the existing dwellings and to permit a total of 110 units within a 12-storey residential apartment building with three levels of underground parking.,---,12,110,"Olivia Antonel, Assistant Planner, (416) 394-6008, Olivia.Antonel@toronto.ca ",1.0,"[['Site Plan Approval', '09 172870 WET 11 SA', 'Sep 25, 2009', 'Under Review']]","['Planning Rationale: Sep 25, 2014: Download : : Toronto Green Standards Checklist: Feb 4, 2016: Download : : Stormwater Management Report: Feb 4, 2016: Download : : Parking Study: Sep 25, 2014: Download : : Traffic Operations Assessment: Jun 24, 2016: Download : : Geotechnical Study: Dec 19, 2016: Download : : Arborist/Tree Preservation Report and/or Declaration: May 14, 2015: Download : : Application Form: Dec 4, 2013: Download : : Resubmission Form: Feb 20, 2018: Download : : Hydrogeological Report: Feb 20, 2018: Download : : Detailed Revision List: Feb 20, 2018: Download : : Architectural Plans: Feb 20, 2018: Download : : Civil and Utilities Plans: Feb 20, 2018: Download : : Civil and Utilities Plans: Feb 20, 2018: Download : : Landscape and Lighting Plans: Aug 5, 2016: Download : : Correspondence: Jun 16, 2017: Download : : Project Data Sheet: Feb 20, 2018: Download : : Cover Letter: Feb 20, 2018: Download : : Disclaimer']",http://app.toronto.ca/DevelopmentApplications/associatedApplicationsList.do?action=init&folderRsn=2493073&isCofASearch=false&isTlabSearch=false
2346 WESTON RD,"Feb 22, 2018","Mar 13, 2018",['2346 WESTON RD'],11,"Proposed 15-storey ,157 unit rental apartment building with 52 parking spaces and a proposed GFA of 8,250 square metres. It is proposed that all the apartment units will be affordable rental housing constructed under the Open Door Affordable Rental Housing Program.",---,15,157,"Sean Rooney, Planner, (416) 394-8245, Sean.Rooney@toronto.ca ",1.0,"[['Rezoning', '18 120119 WET 11 OZ', 'Feb 22, 2018', 'Under Review']]","['Planning Rationale: Feb 22, 2018: Download : : Community Services and Facilities Study: Mar 13, 2018: Download : : Pedestrian Level Wind Study: Feb 22, 2018: Download : : Sun/Shadow Study: Feb 22, 2018: Download : : Toronto Green Standards Checklist: Feb 22, 2018: Download : : Noise Impact Study : Feb 22, 2018: Download : : Heritage Impact Statement: Feb 22, 2018: Download : : Transportation Impact Study: Feb 22, 2018: Download : : Servicing Report: Feb 22, 2018: Download : : Geotechnical Study: Feb 22, 2018: Download : : Arborist/Tree Preservation Report and/or Declaration: Feb 22, 2018: Download : : Application Form: Feb 22, 2018: Download : : Hydrological Report: Feb 22, 2018: Download : : Phase 1 ESA: Feb 22, 2018: Download : : Survey Plans: Feb 22, 2018: Download : : Architectural Plans: Feb 23, 2018: Download : : Civil and Utilities Plans: Feb 22, 2018: Download : : Plans and Drawings: Feb 23, 2018: Download : : Project Data Sheet: Feb 22, 2018: Download : : Draft Zoning Bylaw Amendment 569-2013: Feb 22, 2018: Download : : Draft Zoning Bylaw Amendment FGZBL: Feb 22, 2018: Download : : Application Checklist: Feb 22, 2018: Download : : Disclaimer']",http://app.toronto.ca/DevelopmentApplications/associatedApplicationsList.do?action=init&folderRsn=4326423&isCofASearch=false&isTlabSearch=false
2549 WESTON RD,"Apr 26, 2016","Dec 27, 2017",['2549 WESTON RD'],11,Proposed conversion of the southerly portion of an existing parking lot to accommodate the development of two commercial buildings,---,,,"Philip Carvalino, Senior Planner, 416-394-8233, Philip.Carvalino@toronto.ca ",2.0,"[['Site Plan Approval', '16 146399 WET 11 SA', 'Apr 26, 2016', 'Final Approval Completed\xa0\xa0 Dec 27, 2017'], ['Rezoning', '16 146388 WET 11 OZ', 'Apr 26, 2016', 'Council Approved\xa0\xa0 Apr 26, 2017']]","['Planning Rationale: Apr 28, 2016: Download : : Toronto Green Standards Checklist: Aug 18, 2017: Download : : Stormwater Management Report: Nov 14, 2016: Download : : Transportation Impact Study: Apr 28, 2016: Download : : Servicing Report: Aug 18, 2017: Download : : Geotechnical Study: Apr 28, 2016: Download : : Arborist/Tree Preservation Report and/or Declaration: Aug 18, 2017: Download : : Application Form: Nov 14, 2016: Download : : Resubmission Form: Aug 18, 2017: Download : : Detailed Revision List: Aug 18, 2017: Download : : Survey Plans: Apr 28, 2016: Download : : Architectural Plans: Aug 18, 2017: Download : : Civil and Utilities Plans: Aug 18, 2017: Download : : Landscape and Lighting Plans: Aug 18, 2017: Download : : Correspondence: Aug 18, 2017: Download : : Project Data Sheet: Aug 18, 2017: Download : : Cover Letter: Jun 23, 2017: Download : : Draft Zoning By-Law Amendment FGZBL: Apr 28, 2016: Download : : Draft Zoning By-Law Amendment FGZBL: Apr 28, 2016: Download : : Disclaimer', 'Planning Rationale: Apr 28, 2016: Download : : Toronto Green Standards Checklist: Mar 2, 2017: Download : : Stormwater Management Report: Nov 14, 2016: Download : : Transportation Impact Study: Nov 16, 2016: Download : : Servicing Report: Mar 2, 2017: Download : : Geotechnical Study: Apr 28, 2016: Download : : Arborist/Tree Preservation Report and/or Declaration: Mar 2, 2017: Download : : Application Form: Nov 14, 2016: Download : : Resubmission Form: Mar 2, 2017: Download : : Survey Plans: Apr 28, 2016: Download : : Architectural Plans: Mar 2, 2017: Download : : Civil and Utilities Plans: Mar 2, 2017: Download : : Landscape and Lighting Plans: Mar 2, 2017: Download : : Correspondence: Mar 2, 2017: Download : : Civil and Utilities Response to Comments: Mar 2, 2017: Download : : Project Data Sheet: Mar 2, 2017: Download : : Cover Letter: Mar 2, 2017: Download : : Draft Zoning By-Law Amendment FGZBL: Apr 28, 2016: Download : : Draft Zoning By-Law Amendment FGZBL: Apr 28, 2016: Download : : Disclaimer']",http://app.toronto.ca/DevelopmentApplications/associatedApplicationsList.do?action=init&folderRsn=3939570&isCofASearch=false&isTlabSearch=false
3035 WESTON RD,Page error!,http://app.toronto.ca/DevelopmentApplications/associatedApplicationsList.do?action=init&folderRsn=1666313&isCofASearch=false&isTlabSearch=false
